segment,model,n_customers,n_test,accuracy,precision,recall,f1,roc_auc
Complaint_Customers,LR,241,73,0.9315068493150684,0.951651893634166,0.9315068493150684,0.9359479024098769,0.9863387978142075
Complaint_Customers,DT,241,73,0.7123287671232876,0.874050459777371,0.7123287671232876,0.749351255888184,0.903688524590164
Complaint_Customers,RF,241,73,0.7945205479452054,0.8905365296803652,0.7945205479452054,0.8183649277026178,0.9275956284153005
No_Complaint_Customers,LR,2909,873,0.827033218785796,0.922374985560885,0.827033218785796,0.8560025433847337,0.9091306466406788
No_Complaint_Customers,DT,2909,873,0.8087056128293242,0.9180809628564304,0.8087056128293242,0.8420730369681667,0.9117103301994955
No_Complaint_Customers,RF,2909,873,0.8316151202749141,0.9216699851163754,0.8316151202749141,0.8592521475757385,0.9325054459986242
Active_Customers,LR,2368,711,0.8509142053445851,0.9533308872989666,0.8509142053445851,0.8870446072268421,0.9524517087667161
Active_Customers,DT,2368,711,0.8340365682137834,0.948414558822435,0.8340365682137834,0.8752729802750218,0.9274067412215532
Active_Customers,RF,2368,711,0.939521800281294,0.9640002240942136,0.939521800281294,0.947916749278351,0.9764995698756549
Inactive_Customers,LR,782,235,0.6893617021276596,0.6925116165321595,0.6893617021276596,0.685259615078133,0.7910127869805289
Inactive_Customers,DT,782,235,0.723404255319149,0.7251501989897443,0.723404255319149,0.7212703817171586,0.7759735541993609
Inactive_Customers,RF,782,235,0.7872340425531915,0.7877723736017477,0.7872340425531915,0.7865815768542453,0.8687518163324613
All_Customers,LR,3150,945,0.8359788359788359,0.8972493471515711,0.8359788359788359,0.8528786763951149,0.9280875919834515
All_Customers,DT,3150,945,0.8656084656084656,0.9114347350510825,0.8656084656084656,0.8780001832285818,0.9285581064125605
All_Customers,RF,3150,945,0.8465608465608465,0.9052157802324283,0.8465608465608465,0.8622176514950461,0.9464588490623622
